OBJECTID;WILAYAH;KECAMATAN;KELURAHAN;NO_RT;NO_RW;NO_KEL;NO_KEC;NO_KAB;ID_RT_AR;LUAS_AREA;GENANGAN;TINGGI;FLOOD;KETERANGAN;WAKTU;WAKTU_TEXT;SHAPE.AREA;SHAPE.LEN
33730;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;011;005;1001;03;75;3175031001005011;0,00227707;80 cm;3;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;2277,630407;258,2857023
33731;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;005;007;1001;03;75;3175031001007005;0,00134568;50 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;1346,005224;153,8245789
33732;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;002;007;1001;03;75;3175031001007002;0,00248862;40 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;2489,235484;281,6561546
33733;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;004;007;1001;03;75;3175031001007004;0,00167914;40 cm;2;YES;Luapan Kali Ciliwung;2021-02-26 12.00.20;2021-02-26 12:00;1679,550891;170,4151952
33719;JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;001;003;1005;08;75;3175081005003001;0,00445937;60 cm;2;YES;CURAH HUJAN TINGGI;2021-02-23 21.00.19;2021-02-23 21:00;4460,614844;274,5556167
33720;JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;011;002;1005;08;75;3175081005002011;0,00725617;40 cm;2;YES;CURAH HUJAN TINGGI;2021-02-23 21.00.19;2021-02-23 21:00;7258,19478;342,747495
36363;JAKARTA BARAT;KALI DERES;KAMAL;001;001;1004;06;73;3173061004001001;0,08153582;30 cm;1;Yes;nan;2022-05-18 3.00.19;2022-05-18 03:00;81543,08959;1270,092068
36364;JAKARTA BARAT;KALI DERES;KAMAL;005;001;1004;06;73;3173061004001005;0,03881141;30 cm;1;Yes;nan;2022-05-18 3.00.19;2022-05-18 03:00;38814,79114;879,4862586
36542;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;002;007;1001;03;75;3175031001007002;0,00248862;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;2489,235484;281,6561546
36543;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;004;007;1001;03;75;3175031001007004;0,00244383;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;2444,432725;202,1387872
36544;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;007;007;1001;03;75;3175031001007007;0,00163497;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;1635,372123;290,2191566
36545;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;017;007;1001;03;75;3175031001007017;0,00094862;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;948,8495585;156,1033352
36546;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;015;008;1001;03;75;3175031001008015;0,00312197;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;3122,739057;231,9537887
36547;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;014;008;1001;03;75;3175031001008014;0,00192963;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;1930,102719;209,1269001
36548;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;009;008;1001;03;75;3175031001008009;0,00137006;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;1370,39514;172,0129094
36549;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;005;008;1001;03;75;3175031001008005;0,00102418;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;1024,427311;171,603176
36550;JAKARTA TIMUR;JATINEGARA;KAMPUNG MELAYU;006;008;1001;03;75;3175031001008006;0,00414511;160 cm;4;YES;-;2022-07-16 10.00.28;2022-07-16 10:00;4146,127577;306,3444291
